(-4.8541019662496847,0.001,-1),(-4.2360679774997898,1.6180339887498949,-2),(-3.2360679774997898,1,-3.6180339887498949),(-3.2360679774997898,-1,-3.6180339887498949),(-4.2360679774997898,-1.6180339887498949,-2),(-4.8541019662496847,0.001,-1)
(4.8541019662496847,0.001,1),(4.2360679774997898,1.6180339887498949,2),(3.2360679774997898,1,3.6180339887498949),(3.2360679774997898,-1,3.6180339887498949),(4.2360679774997898,-1.6180339887498949,2),(4.8541019662496847,0.001,1)
(-4.8541019662496847,0.001,1),(-4.2360679774997898,1.6180339887498949,2),(-3.2360679774997898,1,3.6180339887498949),(-3.2360679774997898,-1,3.6180339887498949),(-4.2360679774997898,-1.6180339887498949,2),(-4.8541019662496847,0.001,1)
(0.001,1,4.8541019662496847),(1.6180339887498949,2,4.2360679774997898),(1,3.6180339887498949,3.2360679774997898),(-1,3.6180339887498949,3.2360679774997898),(-1.6180339887498949,2,4.2360679774997898),(0.001,1,4.8541019662496847)
(0.001,1,-4.8541019662496847),(1.6180339887498949,2,-4.2360679774997898),(1,3.6180339887498949,-3.2360679774997898),(-1,3.6180339887498949,-3.2360679774997898),(-1.6180339887498949,2,-4.2360679774997898),(0.001,1,-4.8541019662496847)
(0.001,-1,-4.8541019662496847),(-1.6180339887498949,-2,-4.2360679774997898),(-1,-3.6180339887498949,-3.2360679774997898),(1,-3.6180339887498949,-3.2360679774997898),(1.6180339887498949,-2,-4.2360679774997898),(0.001,-1,-4.8541019662496847)
(3.6180339887498949,-3.2360679774997898,-1),(3.6180339887498949,-3.2360679774997898,1),(2,-4.2360679774997898,1.6180339887498949),(1,-4.8541019662496847,0),(2,-4.2360679774997898,-1.6180339887498949),(3.6180339887498949,-3.2360679774997898,-1)
(0.001,-1,4.8541019662496847),(1.6180339887498949,-2,4.2360679774997898),(1,-3.6180339887498949,3.2360679774997898),(-1,-3.6180339887498949,3.2360679774997898),(-1.6180339887498949,-2,4.2360679774997898),(0.001,-1,4.8541019662496847)
(-1,4.8541019662496847,0),(-2,4.2360679774997898,-1.6180339887498949),(-3.6180339887498949,3.2360679774997898,-1),(-3.6180339887498949,3.2360679774997898,1),(-2,4.2360679774997898,1.6180339887498949),(-1,4.8541019662496847,0)
(1,4.8541019662496847,0),(2,4.2360679774997898,1.6180339887498949),(3.6180339887498949,3.2360679774997898,1),(3.6180339887498949,3.2360679774997898,-1),(2,4.2360679774997898,-1.6180339887498949),(1,4.8541019662496847,0)
(4.8541019662496847,0.001,-1),(4.2360679774997898,1.6180339887498949,-2),(3.2360679774997898,1,-3.6180339887498949),(3.2360679774997898,-1,-3.6180339887498949),(4.2360679774997898,-1.6180339887498949,-2),(4.8541019662496847,0.001,-1)
(-1,-4.8541019662496847,0),(-2,-4.2360679774997898,1.6180339887498949),(-3.6180339887498949,-3.2360679774997898,1),(-3.6180339887498949,-3.2360679774997898,-1),(-2,-4.2360679774997898,-1.6180339887498949),(-1,-4.8541019662496847,0)
